IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,30886,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594155522,1697594155558
6,10.215.173.1,42044,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6188,4060,32,31,1697594155535,1697594252406
17,10.215.173.1,11299,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594155744,1697594155783
6,10.215.173.1,34712,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,649,11,10,1697594155788,1697594216574
17,10.215.173.1,48505,157.240.22.63,443,10334,Instagram,UDP,Closed,,58,57,1,1,1697594158931,1697594158976
6,10.215.173.1,36836,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,5982,4456,60,54,1697594159005,1697594538222
17,10.215.173.1,16291,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,126,1,1,1697594159012,1697594159042
17,10.215.173.1,34904,157.240.22.63,443,10334,Instagram,UDP,Closed,,2249,1444,3,3,1697594159031,1697594159067
17,10.215.173.1,55595,157.240.22.63,443,10334,Instagram,QUIC,Closed,,85701,421563,192,477,1697594159074,1697594531782
17,10.215.173.1,10514,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,117,1,1,1697594159086,1697594159135
17,10.215.173.1,58935,157.240.22.63,443,10334,Instagram,QUIC,Closed,i.instagram.com,166268,37873599,1536,30598,1697594161734,1697594532925
17,10.215.173.1,20722,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,105,1,1,1697594161738,1697594161782
17,10.215.173.1,49373,157.240.22.63,443,10334,Instagram,UDP,Closed,scontent-sjc3-1.cdninstagram.com,14530,8651,14,14,1697594162001,1697594162049
17,10.215.173.1,59379,157.240.22.63,443,10334,Instagram,QUIC,Closed,scontent-sjc3-1.cdninstagram.com,304636,20515,388,134,1697594162045,1697594529885
17,10.215.173.1,10788,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,121,1,1,1697594162048,1697594162079
17,10.215.173.1,47132,157.240.22.25,443,10334,Instagram,UDP,Closed,,58,57,1,1,1697594168066,1697594168112
17,10.215.173.1,1829,10.215.173.2,53,10334,Instagram,DNS,Closed,cdn.fbsbx.com,59,121,1,1,1697594179151,1697594179196
17,10.215.173.1,50747,157.240.22.25,443,10334,Instagram,QUIC,Closed,,3557,10671,19,28,1697594179154,1697594530144
17,10.215.173.1,64334,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594217584,1697594217634
6,10.215.173.1,34266,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1853,689,12,11,1697594217638,1697594277767
17,10.215.173.1,42071,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594252423,1697594252458
6,10.215.173.1,35612,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,7140,5174,37,31,1697594252428,1697594389666
17,10.215.173.1,27777,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594278782,1697594278828
6,10.215.173.1,46340,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1773,569,10,8,1697594278833,1697594338740
17,10.215.173.1,46453,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594339751,1697594339804
6,10.215.173.1,42306,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,649,11,10,1697594339807,1697594399912
17,10.215.173.1,37890,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594389683,1697594389723
6,10.215.173.1,55352,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6601,4343,41,34,1697594389695,1697594526707
17,10.215.173.1,62942,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594400921,1697594400967
6,10.215.173.1,51058,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1933,649,14,10,1697594400974,1697594465943
17,10.215.173.1,36428,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594466949,1697594466983
6,10.215.173.1,55126,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1853,689,12,11,1697594466987,1697594531722
6,10.215.173.1,40250,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6109,4078,33,28,1697594526729,1697594538219
17,10.215.173.1,2069,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594526735,1697594526770
17,10.215.173.1,24226,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594532740,1697594532786
6,10.215.173.1,50150,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1893,689,13,11,1697594532793,1697594538289
17,10.215.173.1,51484,157.240.22.63,443,10334,Instagram,QUIC,Closed,graph.instagram.com,164335,621266,499,807,1697594629353,1697594907119
17,10.215.173.1,46982,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,117,1,1,1697594629357,1697594629417
17,10.215.173.1,61030,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,117,1,1,1697594629359,1697594629417
6,10.215.173.1,55258,157.240.22.63,443,10334,Instagram,TLS,Closed,graph.instagram.com,140,88,3,2,1697594629361,1697594629397
17,10.215.173.1,51098,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594629484,1697594629536
6,10.215.173.1,35906,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,2038,851,14,14,1697594629540,1697594693436
17,10.215.173.1,61022,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,121,1,1,1697594629902,1697594629943
17,10.215.173.1,39073,157.240.22.63,443,10334,Instagram,QUIC,Closed,i.instagram.com,232482,20121,346,136,1697594629908,1697594902812
6,10.215.173.1,39472,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,7217,5128,63,57,1697594630579,1697594900678
17,10.215.173.1,31396,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,126,1,1,1697594630603,1697594630651
6,10.215.173.1,40678,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6698,4277,40,31,1697594630773,1697594698603
17,10.215.173.1,49579,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594630782,1697594630819
17,10.215.173.1,38917,157.240.22.63,443,10334,Instagram,QUIC,Closed,graph.instagram.com,82548,17146982,777,13862,1697594631129,1697594901850
17,10.215.173.1,50018,157.240.22.25,443,10334,Instagram,QUIC,Closed,cdn.fbsbx.com,3332,57499,15,61,1697594634083,1697594884851
17,10.215.173.1,14427,10.215.173.2,53,10334,Instagram,DNS,Closed,connect.facebook.net,66,125,1,1,1697594634091,1697594634126
17,10.215.173.1,26784,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594694451,1697594694488
6,10.215.173.1,44166,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1814,609,11,9,1697594694493,1697594754486
6,10.215.173.1,59290,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,6515,4034,34,25,1697594698621,1697594764561
17,10.215.173.1,30943,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594698626,1697594698657
17,10.215.173.1,36901,157.240.22.25,443,10334,Instagram,QUIC,Closed,connect.facebook.net,3156,3635,12,15,1697594734725,1697594885251
17,10.215.173.1,23124,10.215.173.2,53,10334,Instagram,DNS,Closed,lookaside.facebook.com,68,130,1,1,1697594734728,1697594734760
17,10.215.173.1,54686,157.240.22.25,443,10334,Instagram,QUIC,Closed,lookaside.facebook.com,24234,7318190,289,5892,1697594735364,1697594889630
17,10.215.173.1,29663,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.xx.fbcdn.net,74,101,1,1,1697594735366,1697594735401
17,10.215.173.1,51058,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594755496,1697594755601
6,10.215.173.1,57524,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1814,609,11,9,1697594755608,1697594815415
6,10.215.173.1,55542,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,8264,5262,48,37,1697594764584,1697594856290
17,10.215.173.1,57198,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,119,1,1,1697594764590,1697594764678
17,10.215.173.1,62771,10.215.173.2,53,10334,Instagram,DNS,Closed,web.facebook.com,62,132,1,1,1697594804632,1697594804663
17,10.215.173.1,56466,157.240.22.19,443,10334,Instagram,QUIC,Closed,,3539,7650,13,17,1697594804636,1697594905201
17,10.215.173.1,63936,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594816421,1697594816477
6,10.215.173.1,36188,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1814,689,11,11,1697594816481,1697594876434
17,10.215.173.1,41117,157.240.22.25,443,10334,Instagram,QUIC,Closed,scontent-sjc3-1.xx.fbcdn.net,2995,3854,9,13,1697594860084,1697594885433
17,10.215.173.1,6116,10.215.173.2,53,10334,Instagram,DNS,Closed,external-sjc3-1.xx.fbcdn.net,74,131,1,1,1697594860087,1697594860175
17,10.215.173.1,53281,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,140,1,1,1697594877443,1697594877490
6,10.215.173.1,55926,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1854,649,12,10,1697594877495,1697594877911
